text,label
Congratulations! You've won a $1000 gift card. Click to claim.,1
Meeting rescheduled to 2 PM tomorrow.,0
Get cheap loans now with low interest rates.,1
Don't forget our dinner plans.,0
URGENT: Update your billing information immediately.,1
"Hi Dad, can you call me back?",0
Limited time offer on all electronics.,1
Please find attached the project report.,0
Win a free iPhone by completing this survey.,1
Lunch at 1 PM works for me.,0
Congratulations! You've won a $1000 gift card. Click to claim.,1
Meeting rescheduled to 2 PM tomorrow.,0
Get cheap loans now with low interest rates.,1
Don't forget our dinner plans.,0
URGENT: Update your billing information immediately.,1
"Hi Dad, can you call me back?",0
Limited time offer on all electronics.,1
Please find attached the project report.,0
Win a free iPhone by completing this survey.,1
Lunch at 1 PM works for me.,0
Congratulations! You've won a $1000 gift card. Click to claim.,1
Meeting rescheduled to 2 PM tomorrow.,0
Get cheap loans now with low interest rates.,1
Don't forget our dinner plans.,0
URGENT: Update your billing information immediately.,1
"Hi Dad, can you call me back?",0
Limited time offer on all electronics.,1
Please find attached the project report.,0
Win a free iPhone by completing this survey.,1
Lunch at 1 PM works for me.,0
Congratulations! You've won a $1000 gift card. Click to claim.,1
Meeting rescheduled to 2 PM tomorrow.,0
Get cheap loans now with low interest rates.,1
Don't forget our dinner plans.,0
URGENT: Update your billing information immediately.,1
"Hi Dad, can you call me back?",0
Limited time offer on all electronics.,1
Please find attached the project report.,0
Win a free iPhone by completing this survey.,1
Lunch at 1 PM works for me.,0
Congratulations! You've won a $1000 gift card. Click to claim.,1
Meeting rescheduled to 2 PM tomorrow.,0
Get cheap loans now with low interest rates.,1
Don't forget our dinner plans.,0
URGENT: Update your billing information immediately.,1
"Hi Dad, can you call me back?",0
Limited time offer on all electronics.,1
Please find attached the project report.,0
Win a free iPhone by completing this survey.,1
Lunch at 1 PM works for me.,0
Congratulations! You've won a $1000 gift card. Click to claim.,1
Meeting rescheduled to 2 PM tomorrow.,0
Get cheap loans now with low interest rates.,1
Don't forget our dinner plans.,0
URGENT: Update your billing information immediately.,1
"Hi Dad, can you call me back?",0
Limited time offer on all electronics.,1
Please find attached the project report.,0
Win a free iPhone by completing this survey.,1
Lunch at 1 PM works for me.,0
Congratulations! You've won a $1000 gift card. Click to claim.,1
Meeting rescheduled to 2 PM tomorrow.,0
Get cheap loans now with low interest rates.,1
Don't forget our dinner plans.,0
URGENT: Update your billing information immediately.,1
"Hi Dad, can you call me back?",0
Limited time offer on all electronics.,1
Please find attached the project report.,0
Win a free iPhone by completing this survey.,1
Lunch at 1 PM works for me.,0
Congratulations! You've won a $1000 gift card. Click to claim.,1
Meeting rescheduled to 2 PM tomorrow.,0
Get cheap loans now with low interest rates.,1
Don't forget our dinner plans.,0
URGENT: Update your billing information immediately.,1
"Hi Dad, can you call me back?",0
Limited time offer on all electronics.,1
Please find attached the project report.,0
Win a free iPhone by completing this survey.,1
Lunch at 1 PM works for me.,0
Congratulations! You've won a $1000 gift card. Click to claim.,1
Meeting rescheduled to 2 PM tomorrow.,0
Get cheap loans now with low interest rates.,1
Don't forget our dinner plans.,0
URGENT: Update your billing information immediately.,1
"Hi Dad, can you call me back?",0
Limited time offer on all electronics.,1
Please find attached the project report.,0
Win a free iPhone by completing this survey.,1
Lunch at 1 PM works for me.,0
Congratulations! You've won a $1000 gift card. Click to claim.,1
Meeting rescheduled to 2 PM tomorrow.,0
Get cheap loans now with low interest rates.,1
Don't forget our dinner plans.,0
URGENT: Update your billing information immediately.,1
"Hi Dad, can you call me back?",0
Limited time offer on all electronics.,1
Please find attached the project report.,0
Win a free iPhone by completing this survey.,1
Lunch at 1 PM works for me.,2
